# x_m,y_m,w_tr_right_m,w_tr_left_m
9.5000,2.5600,1.4705,1.4705
9.4500,2.5100,1.4318,1.4318
9.4000,2.4600,1.3946,1.3946
9.3500,2.4600,1.4080,1.4080
9.3000,2.4600,1.4230,1.4230
9.2500,2.4100,1.3928,1.3928
9.2000,2.4100,1.4080,1.4080
9.1500,2.3600,1.3730,1.3730
9.1000,2.3600,1.3829,1.3829
9.0500,2.3100,1.3463,1.3463
9.0000,2.2600,1.3124,1.3124
8.9500,2.2600,1.3238,1.3238
8.9000,2.2100,1.2855,1.2855
8.8500,2.1600,1.2500,1.2500
8.8000,2.1100,1.2166,1.2166
8.7500,2.0600,1.1769,1.1769
8.7000,2.0600,1.1885,1.1885
8.6500,2.0100,1.1543,1.1543
8.6000,1.9600,1.1102,1.1102
8.5500,1.9600,1.1180,1.1180
8.5000,1.9100,1.0794,1.0794
8.4500,1.8600,1.0440,1.0440
8.4000,1.8600,1.0595,1.0595
8.3500,1.8100,1.0198,1.0198
8.3000,1.7600,0.9823,0.9823
8.2500,1.7600,0.9962,0.9962
8.2000,1.7100,0.9618,0.9618
8.1500,1.7100,0.9708,0.9708
8.1000,1.6600,0.9341,0.9341
8.0500,1.6600,0.9487,0.9487
8.0000,1.6100,0.9124,0.9124
7.9500,1.5600,0.8732,0.8732
7.9000,1.5600,0.8860,0.8860
7.8500,1.5100,0.8544,0.8544
7.8000,1.5100,0.8732,0.8732
7.7500,1.4600,0.8382,0.8382
7.7000,1.4600,0.8544,0.8544
7.6500,1.4100,0.8139,0.8139
7.6000,1.4100,0.8246,0.8246
7.5500,1.4100,0.8382,0.8382
7.5000,1.3600,0.8078,0.8078
7.4500,1.3600,0.8246,0.8246
7.4000,1.3100,0.7906,0.7906
7.3500,1.3100,0.8078,0.8078
7.3000,1.3100,0.8246,0.8246
7.2500,1.3100,0.8276,0.8276
7.2000,1.2600,0.8078,0.8078
7.1500,1.2600,0.8246,0.8246
7.1000,1.2600,0.8078,0.8078
7.0500,1.2100,0.8062,0.8062
7.0000,1.2100,0.8139,0.8139
6.9500,1.2100,0.8062,0.8062
6.9000,1.2100,0.7906,0.7906
6.8500,1.2100,0.7762,0.7762
6.8000,1.2100,0.7616,0.7616
6.7500,1.2100,0.7433,0.7433
6.7000,1.2100,0.7280,0.7280
6.6500,1.2100,0.7159,0.7159
6.6000,1.2100,0.7071,0.7071
6.5500,1.2100,0.7018,0.7018
6.5000,1.2100,0.7000,0.7000
6.4500,1.2100,0.7000,0.7000
6.4000,1.2100,0.7000,0.7000
6.3500,1.2100,0.7000,0.7000
6.3000,1.2100,0.7000,0.7000
6.2500,1.2100,0.7000,0.7000
6.2000,1.2100,0.7000,0.7000
6.1500,1.2100,0.7000,0.7000
6.1000,1.2100,0.7000,0.7000
6.0500,1.2600,0.6519,0.6519
6.0000,1.2600,0.6576,0.6576
5.9500,1.2600,0.6671,0.6671
5.9000,1.2600,0.6801,0.6801
5.8500,1.2600,0.6964,0.6964
5.8000,1.2600,0.7000,0.7000
5.7500,1.2600,0.6964,0.6964
5.7000,1.2600,0.6801,0.6801
5.6500,1.2600,0.6671,0.6671
5.6000,1.2600,0.6576,0.6576
5.5500,1.3100,0.6519,0.6519
5.5000,1.3100,0.6576,0.6576
5.4500,1.3100,0.6671,0.6671
5.4000,1.3100,0.6801,0.6801
5.3500,1.3100,0.6964,0.6964
5.3000,1.3100,0.6801,0.6801
